Bengali,Meitei Mayek
জিএদি,ꯖꯤꯑꯦꯗꯤ
ৱিন্দো,ꯋꯤꯟꯗꯣ
য়াম্না,ꯌꯥꯝꯅ
অসিনচিংবগীদমক্তা,ꯑꯁꯤꯅꯆꯤꯡꯕꯒꯤꯗꯃꯛꯇ
চংজফম,ꯆꯪꯖꯐꯝ
শীথবা,ꯁꯤꯊꯕ
শিন্দোকপীনবা,ꯁꯤꯟꯗꯣꯛꯄꯤꯅꯕ
পাকথোকচাওথোকপা,ꯄꯥꯛꯊꯣꯛꯆꯥꯑꯣꯊꯣꯛꯄ
মফমশীংলা,ꯃꯐꯝꯁꯤꯡꯂ
ঙৌদোং,ꯉꯧꯗꯣꯡ
উৎকনি,ꯎꯠꯀꯅꯤ
তুংগী,ꯇꯨꯡꯒꯤ
বন্ধু,ꯕꯟꯙꯨ
মসিবু,ꯃꯁꯤꯕꯨ
তৌরকি,ꯇꯧꯔꯀꯤ
কংবদা,ꯀꯪꯕꯗ
কিজবী,ꯀꯤꯖꯕꯤ
ওইদুনা,ꯑꯣꯏꯗꯨꯅ
থূনমক,ꯊꯨꯅꯃꯛ
বিড়িগী,ꯕꯤꯔꯤꯒꯤ
হংলবদা,ꯍꯪꯂꯕꯗ
ৱাঙাংলোমদা,ꯋꯥꯉꯥꯡꯂꯣꯝꯗ
অদুগি,ꯑꯗꯨꯒꯤ
রোজকার,ꯔꯣꯖꯀꯥꯔ
থমহৌবা,ꯊꯝꯍꯧꯕ
জামুন,ꯖꯥꯃꯨꯟ
থেংনরকপনি,ꯊꯦꯡꯅꯔꯛꯄꯅꯤ
কুপশিনবীবা,ꯀꯨꯞꯁꯤꯟꯕꯤꯕ
নোংমগী,ꯅꯣꯡꯃꯒꯤ
মালেম,ꯃꯥꯂꯦꯝ
লাতোন,ꯂꯥꯇꯣꯟ
লেবেল,ꯂꯦꯕꯦꯜ
ওটোনোমস,ꯑꯣꯇꯣꯅꯣꯃꯁ
রিফিল,ꯔꯤꯐꯤꯜ
রোলশিংগী,ꯔꯣꯜꯁꯤꯡꯒꯤ
লোনশিংগগী,ꯂꯣꯟꯁꯤꯡꯒꯒꯤ
সিভিক,ꯁꯤꯚꯤꯛ
মরাগী,ꯃꯔꯥꯒꯤ
